Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",05/01/2017,18.1,4.1,12.2,,,0.3,,,15.9,62.54,38.9,326.5,4.3,32.76,Rain
"Winnipeg, MB, Canada",05/02/2017,18.3,7,13.3,6.9,,0,,,7.8,127.96,27.7,327,5.7,42.02,Clear
"Winnipeg, MB, Canada",05/03/2017,18.1,9.3,13.6,8.7,,0.94,,,12,209.25,37.1,328.4,4.2,47.13,Rain
"Winnipeg, MB, Canada",05/04/2017,20.9,7.6,15,,,0,,,10.3,167.58,33.5,328.9,3.3,40.48,Clear
"Winnipeg, MB, Canada",05/05/2017,22.2,11.1,17,,,0,,,19.3,112.29,48.2,327.8,1.6,32.99,Clear
"Winnipeg, MB, Canada",05/06/2017,17,6.6,12,6.5,,0,,,14.4,55.58,40.6,329.1,4.1,49.05,Clear
"Winnipeg, MB, Canada",05/07/2017,18.9,8.5,13.2,7.3,,0.06,,,14.7,93.75,46.1,329.1,3.5,34.69,Rain
"Winnipeg, MB, Canada",05/08/2017,17.7,6.7,12.1,4.2,,5.93,,,25.9,133.25,46.4,288.1,6.4,52.35,Rain
"Winnipeg, MB, Canada",05/09/2017,16.1,7,11.7,6.1,,0.06,,,13.8,294.38,48.2,327.6,3.3,58.19,Rain
"Winnipeg, MB, Canada",05/10/2017,11.8,4.2,8.2,1,,0,,,14,306.58,44.6,328.6,3.4,50.91,Clear
"Winnipeg, MB, Canada",05/11/2017,15.2,2.3,8.5,1.8,,0,,,13.4,90.46,35.3,330.2,2.7,58.25,Clear
"Winnipeg, MB, Canada",05/12/2017,12.6,1.1,7.6,-0.6,,0,,,12.3,52.63,33.5,329.8,1.1,55.37,Clear
"Winnipeg, MB, Canada",05/13/2017,19.8,6.1,12.3,4.6,,0,,,13.8,67.75,42.5,328,4.1,44.47,Clear
"Winnipeg, MB, Canada",05/14/2017,23.1,10.3,16,,,0,,,19.6,106.42,48.2,326.5,4.8,41.55,Clear
"Winnipeg, MB, Canada",05/15/2017,23.9,11.5,18.1,,,0,,,10,194.71,29.5,327.1,2.5,34.65,Clear
"Winnipeg, MB, Canada",05/16/2017,17.6,11.5,14.4,,,5.67,,,10.6,76.58,37,324.8,5.5,58.33,Rain
